,country,total_suicides_no
92,United States,387385
71,Russian Federation,334082
45,Japan,278985
69,Republic of Korea,138480
34,Germany,98697
15,Brazil,97856
32,France,90413
89,Ukraine,81876
65,Poland,59658
55,Mexico,52100
91,United Kingdom,44071
43,Italy,40159
85,Thailand,38664
46,Kazakhstan,35805
80,Spain,34662
2,Argentina,30391
18,Canada,30377
5,Australia,24942
70,Romania,24850
39,Hungary,22990
20,Colombia,21623
12,Belgium,19592
19,Chile,19113
57,Netherlands,16426
11,Belarus,16334
25,Czech Republic,14825
23,Cuba,14582
6,Austria,12811
74,Serbia,12557
64,Philippines,11945
83,Sweden,11702
84,Switzerland,11342
94,Uzbekistan,10383
50,Lithuania,10197
87,Turkey,10131
31,Finland,9270
27,Ecuador,9086
66,Portugal,8549
16,Bulgaria,7625
22,Croatia,7561
26,Denmark,6072
60,Norway,5448
93,Uruguay,5051
48,Kyrgyzstan,4695
79,South Africa,4631
41,Ireland,4498
35,Greece,4475
49,Latvia,4457
78,Slovenia,4363
37,Guatemala,4220
28,El Salvador,4174
58,New Zealand,4144
81,Sri Lanka,4015
42,Israel,3866
77,Slovakia,3564
76,Singapore,3405
21,Costa Rica,2667
67,Puerto Rico,2645
63,Paraguay,2481
29,Estonia,2341
88,Turkmenistan,2325
59,Nicaragua,2013
62,Panama,1536
38,Guyana,1523
33,Georgia,1222
82,Suriname,1164
54,Mauritius,1097
86,Trinidad and Tobago,898
3,Armenia,683
51,Luxembourg,565
90,United Arab Emirates,526
47,Kuwait,449
68,Qatar,445
40,Iceland,386
0,Albania,380
56,Montenegro,354
24,Cyprus,344
14,Bosnia and Herzegovina,318
53,Malta,266
9,Bahrain,217
13,Belize,178
30,Fiji,170
44,Jamaica,89
72,Saint Lucia,65
75,Seychelles,56
7,Azerbaijan,55
73,Saint Vincent and Grenadines,47
17,Cabo Verde,42
8,Bahamas,41
4,Aruba,41
61,Oman,33
10,Barbados,18
52,Maldives,8
36,Grenada,7
1,Antigua and Barbuda,2
